epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,4.0117635499572755,0.08344,3.7327334854125978,0.1189,0.09997532801828658,100.53770327568054
2,3.432718931350708,0.16858,3.2681691844940186,0.1964,0.09990133642141358,135.7725567817688
3,3.0041283197021484,0.24582,2.8712537117004393,0.2726,0.099778098230154,129.97798991203308
4,2.5459465703582764,0.33424,2.573105030822754,0.3295,0.0996057350657239,135.5668659210205
5,2.214546174697876,0.40364,2.158208068847656,0.4224,0.09938441702975688,162.5334279537201
6,1.970734645652771,0.45984,2.0460687244415285,0.4514,0.09911436253643444,159.10600185394287
7,1.813095237388611,0.49824,2.2070861375808715,0.4233,0.09879583809693737,189.67822694778442
8,1.6891022150039672,0.52742,1.868207794189453,0.4939,0.09842915805643156,188.38187527656555
9,1.5992450717163087,0.55002,1.8570689540863037,0.5027,0.09801468428384716,133.58016896247864
10,1.5242123056030275,0.56992,2.007792237854004,0.4774,0.09755282581475769,144.3808569908142
11,1.46732871635437,0.58258,1.8173004051208497,0.5137,0.09704403844771128,138.09602284431458
12,1.4146097597885132,0.59652,1.835381675338745,0.5093,0.09648882429441258,144.11562204360962
13,1.3654990398406983,0.60908,1.784524204826355,0.5233,0.09588773128419906,171.52291083335876
14,1.3269120407104493,0.61734,1.7527080600738525,0.5274,0.09524135262330098,150.80350589752197
15,1.2936174942779541,0.62688,1.6116629207611084,0.5637,0.0945503262094184,171.463791847229
16,1.2651134252548217,0.6314,1.6021612045288085,0.5699,0.09381533400219319,144.8867928981781
17,1.234682569732666,0.64326,1.714243348312378,0.5525,0.0930371013501972,129.96008801460266
18,1.206646835975647,0.65006,1.6334657203674317,0.5631,0.09221639627510078,151.33786797523499
19,1.1843016311645507,0.65724,1.7805326202392577,0.5307,0.09135402871372812,190.7243640422821
20,1.160310760974884,0.66254,1.5810864776611329,0.5769,0.09045084971874741,194.0796890258789
21,1.1423047994613647,0.66782,1.7330863471984863,0.5446,0.08950775061878455,220.0693860054016
22,1.120710513572693,0.67268,1.678851502609253,0.5601,0.08852566213878948,212.78451704978943
23,1.101575297241211,0.6765,1.624291212272644,0.5761,0.087505553481523,220.94961190223694
24,1.0778870637130737,0.68542,1.6494063861846924,0.5746,0.0864484313710706,224.0764982700348
25,1.0583546293258668,0.68856,1.5047816373825074,0.5968,0.08535533905932739,141.84465789794922
26,1.0482576773071288,0.69084,1.6307176294326782,0.5744,0.08422735529643445,135.74832892417908
27,1.022762576789856,0.69912,1.5941459550857544,0.5915,0.08306559326618261,141.52981662750244
28,1.0172720289611816,0.70072,1.6496933511734009,0.5749,0.0818711994874345,156.16576290130615
29,0.9983316288757325,0.70476,1.5116494129180909,0.6011,0.08064535268264884,164.2111132144928
30,0.9749977732467652,0.71224,1.6138531873703004,0.5774,0.07938926261462369,141.4803228378296
31,0.9592427235412597,0.71652,1.6359083992004395,0.5821,0.07810416889260656,148.83373999595642
32,0.9503587533569335,0.71794,1.5211712097167969,0.593,0.07679133974894985,153.37010979652405
33,0.9251276029586792,0.72448,1.6628480316162109,0.577,0.07545207078751859,150.1131980419159
34,0.9061750912475586,0.73122,1.4415068012237549,0.6135,0.07408768370508578,153.51435017585754
35,0.8858282055473328,0.7378,1.4872954210281373,0.6098,0.07269952498697736,193.2308647632599
36,0.8898962537384033,0.73418,1.46357645778656,0.6142,0.07128896457825365,187.66553401947021
37,0.8617715223312378,0.7409,1.533468486404419,0.5967,0.06985739453173904,190.2157700061798
38,0.8406382376861572,0.7472,1.4351211929321288,0.6219,0.06840622763423393,196.87064123153687
39,0.8182040296936035,0.75506,1.6613573989868164,0.5718,0.0669368960122646,166.22852206230164
40,0.8209375876235961,0.7548,1.7131080543518067,0.5793,0.0654508497187474,176.9630000591278
41,0.7884128221130371,0.76196,1.4259440956115723,0.6256,0.0639495553019615,197.04037714004517
42,0.7658995616912841,0.7687,1.507364246559143,0.6157,0.06243449435824276,197.22323513031006
43,0.7539915756416321,0.77164,1.606605899143219,0.5974,0.060907162069827166,192.43853902816772
44,0.7348409191513061,0.778,1.4044863206863403,0.6349,0.059369065729286276,193.99081087112427
45,0.7120528716850281,0.78426,1.6017229976654053,0.6027,0.057821723252011584,182.91351103782654
46,0.7004396118927002,0.78762,1.3796268692016602,0.6455,0.05626666167821526,166.36681604385376
47,0.6780893466758728,0.79296,1.4255641502380372,0.6295,0.054705415665925745,161.5998730659485
48,0.6531175959587097,0.79882,1.489354376411438,0.6277,0.05313952597646571,173.6485891342163
49,0.6444870408058166,0.80494,1.6910285076141358,0.5949,0.051570537953906447,182.72293186187744
50,0.6124886108016968,0.8125,1.390964705657959,0.6454,0.05000000000000003,178.28308391571045
51,0.5882325526428223,0.81968,1.4558063617706298,0.64,0.048429462046093615,162.78256607055664
52,0.5759168232917785,0.82346,1.3584796934127807,0.6569,0.04686047402353436,167.34108209609985
53,0.5539758705711365,0.82824,1.5328423778533935,0.6211,0.04529458433407431,178.72640800476074
54,0.5263402951431274,0.8383,1.468072760772705,0.6407,0.04373333832178482,250.94880199432373
55,0.5142179578399658,0.8411,1.4234629089355468,0.6444,0.04217827674798848,295.00736689567566
56,0.4798973266506195,0.85238,1.4657208978652954,0.637,0.04063093427071379,294.3851246833801
57,0.45330383941650393,0.85928,1.3741040719985962,0.6522,0.03909283793017291,114.54112792015076
58,0.4381531942653656,0.86424,1.4093891841888428,0.6481,0.03756550564175728,139.65388417243958
59,0.41884016563415527,0.8701,1.476742273902893,0.6399,0.036050444698038565,140.0635850429535
60,0.3902593321990967,0.87896,1.3524042091369628,0.6655,0.03454915028125267,144.37425303459167
61,0.3597005966281891,0.88914,1.338726572418213,0.6765,0.03306310398773545,135.2852761745453
62,0.34178910875320434,0.89432,1.3856304641723634,0.6717,0.03159377236576614,132.91937685012817
63,0.32232093196868894,0.899,1.3603069522857667,0.6726,0.030142605468260985,122.66508102416992
64,0.28518468200683594,0.91396,1.2921722005844116,0.6836,0.028711035421746387,126.14239525794983
65,0.26476003626823424,0.92002,1.2821433437347411,0.6803,0.02730047501302268,128.92221212387085
66,0.23516034556865692,0.92944,1.2668827445983886,0.6908,0.025912316294914247,129.9825189113617
67,0.21372937075614928,0.93666,1.3039906938552857,0.6894,0.024547929212481452,130.75893592834473
68,0.2014028350353241,0.94136,1.2851872524261474,0.6908,0.023208660251050173,131.23380780220032
69,0.18858624759674072,0.94576,1.299101612663269,0.6984,0.02189583110739348,131.46797108650208
70,0.15169726660728455,0.95716,1.2564887544631957,0.6986,0.020610737385376363,132.3711700439453
71,0.12508349169254304,0.96624,1.2324949438095092,0.7109,0.019354647317351183,127.38954496383667
72,0.10804953757286072,0.97286,1.1730400941848755,0.722,0.018128800512565525,130.3155698776245
73,0.08746725889921188,0.9788,1.1295959328651428,0.7267,0.016934406733817426,132.72821807861328
74,0.07524786266326905,0.98248,1.1408317989349366,0.7255,0.015772644703565576,132.609787940979
